Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
29436665$Sorcier Eradicateur des Ténèbres$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Magicien/Effet]$$$$$Niveau 7$2500$2100$$$$Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 "Magicien Sombre", et non Invocable Spécialement autrement. Chaque fois qu'une Carte Magie Normale est activée, infligez 1000 points de dommages à votre adversaire immédiatement après sa résolution.$Dark Magician/Normal Spell Card$$Tributes for cost$Summon/Continuous$
55424270$Cerbère, Bête Mythique$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 4$1400$1400$$$$Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Gagne 500 ATK pour chaque Compteur Magie sur elle. À la fin de la Battle Phase, si cette carte a combattu, retirez tous les Compteurs Magie sur elle.$$$$Continuous$
46986414$Magicien Sombre$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Magicien/Normal]$$$$$Niveau 7$2500$2100$$$$Mage suprême en termes d'attaque et de défense.$$$$$
69140098$Gemini Elf$Unlimited(OCG)/Unlimited(TCG)$EARTH$[Spellcaster/Normal]$$$$$4$1900$900$$$$Elf twins that alternate their attacks.$$$$$
31560081$Magicien de la Foi$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$LUMIÈRE$[Magicien/Flip／Effet]$$$$$Niveau 1$300$400$$$$FLIP : Ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main.$Spell Card$$Returns from Graveyard to hand$Flip$
19613556$Violent Orage$Limited(OCG)/Forbidden(TCG)$MAGIE$$$$$$$$$$$$Détruisez toutes les Cartes Magie/Piège sur le Terrain.$$$$Effect$
87880531$Diffusion Ondulatoire$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$(Cette carte n'est pas traitée comme une carte "Fusion".)Si votre adversaire contrôle un monstre : payez 1000 LP, puis ciblez 1 monstre Magicien de min. Niveau 7 que vous contrôlez ; ce tour, il doit attaquer une fois tous les monstres contrôlés par votre adversaire, et aussi, les autres monstres que vous contrôlez ne peuvent pas attaquer. Les effets des monstres détruits par ces attaques ne peuvent pas être activés et sont annulés.$Spellcaster$$$Condition/Cost/Effect$
02314238$Attaque de Magie Noire$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Si vous contrôlez "Magicien Sombre" : détruisez tous les Magies/Pièges contrôlés par votre adversaire.$Dark Magician$$$Activation requirement/Effect$
51481927$Absorption de Magie$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Chaque fois qu'une Carte Magie est activée, gagnez 500 LP immédiatement après sa résolution.$$$$Continuous-like$
25774450$Boîte Mystique$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Ciblez 1 monstre contrôlé par votre adversaire et 1 monstre que vous contrôlez ; détruisez la première cible, puis donnez le contrôle de la seconde cible à votre adversaire.$$$Changes control$Effect$
58775978$Cage d'Acier de Cauchemar$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Cette carte reste sur le Terrain pour 2 tours de votre adversaire. Tant que cette carte est face recto sur le Terrain, aucun monstre ne peut attaquer.$$$$Condition/Continuous-like$
97077563$Appel de l'Être Hanté$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.$$$$Effect/Continuous-like$
38275183$Sort de Bouclier Type 8$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Activez 1 de ces effets. ●Lorsqu'une Carte Magie qui cible exactement 1 monstre sur le Terrain est activée : annulez l'activation, et si vous le faites, détruisez-la. ●Lorsqu'une Carte Magie est activée : envoyez 1 Carte Magie depuis votre main au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la.$$$Sends from your hand to your Graveyard for cost$Activation requirement/Effect/Cost$
34029630$Pierre de Puissance Noirdencre$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$PIÈGE$$$$$$$$$$$$Activez cette carte en plaçant 3 Compteurs Magie sur elle. Une fois par tour, durant votre tour : vous pouvez cibler 1 autre carte face recto sur le Terrain sur laquelle vous pouvez placer un Compteur Magie ; retirez 1 Compteur Magie de cette carte, et si vous le faites, placez 1 Compteur Magie sur la cible. Lorsque le ou les derniers Compteurs Magie sont retirés de cette carte, détruisez-la.$$$$Cost/Quick-like/Continuous-like$
62279055$Cylindre Magique$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Lorsqu'un monstre de l'adversaire déclare une attaque : ciblez le monstre attaquant ; annulez l'attaque, et si vous le faites, infligez des dommages à votre adversaire égaux à son ATK.$$$Activates upon attack declaration$Activation requirement/Effect$
