Name,Status,Attribute,type
Poisson Rouge Étain,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet]
Bouc Fantôme,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Flip／Syntoniseur／Effet]
Spectre Rose de Dunn,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Fusion]
Chaîne d'Invocation,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Village Secret des Magiciens,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Cimetière des Créatures Millénaires,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Numéro 17 : Dragon Léviathan,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Xyz／Effet]
Patrouilleur Stygien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Pot de Dualité,Unlimited(OCG)/Unlimited(TCG),MAGIE,
"Néo-Parshath, le Paladin du Ciel",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet]
"Celestia l'Ange, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
"Wynn, la Spectaculaire",Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet]
Gemini Elf,Unlimited(OCG)/Unlimited(TCG),EARTH,[Spellcaster/Normal]
Ravissant Salon d'Essayage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Retour Inutile,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Sheratan de la Constellée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet]
O'lantern Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Pyro/Effet]
Mandragora Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet]
Cauchemar Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Xyz／Effet]
Champ de Conduction Fondu,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Tempête de Poussières Gusto,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Infection d'Infestation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Puma Bête-Guerrier,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Effet]
"Gairuda, Bête Phénix",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet]
Marteaufer le Géant,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet]
Jet de Fer D.D.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet]
Poisson Rouge Étain,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet]
Castor Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet]
Azzathoth Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Flip／Effet]
"Sophia, Déesse de la Renaissance",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet]
Ptolemy M7 de la Constellée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Xyz／Effet]
Thanatos Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Xyz／Effet]
Ophion Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Xyz／Effet]
Ouroboros Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Xyz／Effet]
Appel de Fer,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Pandémie d'Infestation,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Terminus d'Infestation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Cavalerie d'Acier de Dinon,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Pendule／Effet]
Magicien Briseur du Temps,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet]
Singoclavier Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet]
Petite Bouchée Tortue Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Reptile/Pendule／Effet]
Mantochèvre Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Effet]
Défense Préparée Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet]
Solo la Chanteuse de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Partition la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Aile Noire - Harmattan la Poussière,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
"Nichirin le Chunin, Ninja du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet]
"Buster Blader, Maître de l'Épée Destructrice",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet]
"Jeune Buster, Soldat de l'Épée Destructrice",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet]
"Dragon Buster, Épée Destructrice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Syntoniseur／Effet]
"Sorcier Buster, Épée Destructrice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet]
"Machine Buster, Épée Destructrice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
"Master Pendule, le Dracossassin",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Pendule／Normal]
Crapaud Majesspectre - Ogama,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Pendule／Effet]
Épée-Spectre Shiranui,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet]
Graveur de la Marque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet]
Dragon de la Pesanteur aux Yeux Impairs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Rituel／Effet]
"Buster Blader, le Spadassin Dragon Destructeur",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Fusion／Effet]
"Dinoster Power, le Puissant Dracossassin",Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Fusion／Effet]
"Égéon, Castrum des Mers",Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Xyz／Effet]
Hurricane de Représentation,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Fusion Soldat de l'Épée Destructrice,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Karma du Soldat de l'Épée Destructrice,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Face-à-Face Draco,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Puissante Charge Dinobrumic,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Style de Synthèse Shiranui,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Lien du Dragon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Aile Suivante,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Renaissance Rejetée,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Éclair de l'Épée Destructrice,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Style du Coup de Situation Shiranui,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Force de Miroir Frémissante,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
"Gadarla, Kaiju de la Poussière Mystérieuse",Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet]
Guerrier Rhino Démoniaque,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Effet]
"Neptabysses, le Prince de l'Atlantide",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet]
Dragon du Carnage Chimeratech,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Fusion／Effet]
Cyber Dragon Infini,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Xyz／Effet]
Dragon Rétro aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet]
Soldat du Lustre Noir - Soldat Sacré,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet]
Gaïa le Chevalier Implacable Éveillé,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet]
Traptrix Rafflesia,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Xyz／Effet]
"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet]
Soldat Dragon de l'Ultime Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Fusion／Effet]
Mur de l'Interruption,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),PIÈGE,
Déesse au 3ème Œil,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet]
Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet]
Dandy au Diamant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet]
Bête Cristalline : Chat d'Améthyste,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet]
Obus Volcanique,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),FEU,[Pyro/Effet]
Jarre de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect]
Béhémoth à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet]
Drillago,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect]
Épée de l'Âme du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Le Livre de la Lune,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,
Usine de Production de Masse des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Onde de Chaleur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Pioche de Fer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Épée de la Force de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Sept Outils du Bandit,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Grosse Colère,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Tornade Violente,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Transmigration de Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Trappe Vanne,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),PIÈGE,
L'Homme avec la Marque,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Magicien/Effet]
Scorpion Impitoyable de Serket,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Elfe/Effet]
Anubis le Dernier Juge,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Démon/Effet]
Bête-Scorpion Divine de Serket,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Elfe/Fusion／Effet]
Trésors des Rois,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,
Défense du Temple,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,
Dangers du Divin,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,
Apophis le Serpent,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),PIÈGE,
Tachyon Primitif aux Yeux Galactiques,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet]
Dragluxion le Dragon Divin Doré de l'Ombre,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Xyz／Effet]
Spirale de Destruction Tachyon,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Septième Tachyon,Limited(OCG)/Unlimited(TCG),MAGIE,
Seigneur Galactique de Tachyon,,PIÈGE,
Canon Dragon Hyper-XYZ,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Fusion／Effet]
Activation d'Union,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Chargement d'Énergie A à Z,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Aconity Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Battematite du Groupe Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Fusion／Effet]
Colchica Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Lien／Effet]
Diffusion Farstar,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Demoiselle aux Larmes Bleues,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Duc de la Disparition,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Fusion／Effet]
Océan Régénérateur,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Fantôme Transparent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Golem Furieux Transparent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Rocher/Effet]
Cube Transparent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
Chevalier Brutal Transparent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet]
Mur Transparent,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Particularité du Démon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Brise Sceau,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Esprit de la Terre Immortel Nova Rouge,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Statue Rouages Ancients,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet]
Trompeur à Tasse Mageartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet]
Créateur de Ténèbres Mageartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Xyz／Effet]
Haut Magicien Trapèze Mageartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Xyz／Effet]
Force Magique Magie-Rang-Plus,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Âme de Poing,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Héraut de la Lumière Mauve,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Héraut de la Lumière Verte,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Héraut de la Lumière Écarlate,Limited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Syntoniseur／Effet]
Dragon Malicieux Transparent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet]
Tireur de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet]
Infanterie Lourde de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet]
Le Dragon Ailé de Râ - L'Invincible Phénix,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet]
Mo Ye de l'Âmépée,Unlimited(OCG)/Unlimited(TCG),EAU,[Wyrm/Effet]
Taia de l'Âmépée,Unlimited(OCG)/Unlimited(TCG),VENT,[Wyrm/Effet]
"Longyuan, Stratégiste de l'Âmépée",Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Effet]
"Heraklinos, Bête Gladiateur",Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Fusion／Effet]
"Editor, Dresseur Bête Gladiateur",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Fusion／Effet]
Quariongandrax Crystron,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Synchro／Effet]
Grand Maître de l'Âmépée - Chixiao,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Synchro／Effet]
Souverain Suprême de l'Âmépée - Chengying,Unlimited(OCG)/Unlimited(TCG),EAU,[Wyrm/Synchro／Effet]
Souverain Sinistre de l'Âmépée - Qixing Longyuan,Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Synchro／Effet]
Numéro 107 : Dragon Tachyon aux Yeux Galactiques,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Xyz／Effet]
Numéro C107 : Néo Dragon Tachyon aux Yeux Galactiques,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Xyz／Effet]
Dragon de Lumière @Ignister,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Xyz／Effet]
Le Temple des Rois,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Monde Transparent,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Force de Barian Magie-Rang-Plus,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Force Chaos d'Argent Magie-Rang-Plus,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Réceptacle pour le Cycle du Dragon,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Cercle du Dragon Divin,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Émergence Âmépée,Unlimited(OCG)/Unlimited(TCG),MAGIE,
L'Incarnation d'Apophis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Chariot de Guerre des Bêtes Gladiateurs,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Transmigration Tachyon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Les Chevaliers Fantômes de la Brigandine Ombragée,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Réincarnœillet Farstar,Limited(OCG)/Unlimited(TCG),PIÈGE,
Apophis le Dieu des Marais,,PIÈGE,
Tragoedia,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect]
Ordre de Ralliement de Gottoms,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Dispositif d'Évacuation Obligatoire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
La Fin d'Anubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet]
Commandant Psychique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Syntoniseur／Effet]
Art du Rituel Avancé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Le Rugissement du Gouverneur des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Renversement de Situation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Électro-Gamin (Actualisé de : Héros Oscillo N°2),Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Normal]
Mokey Mokey,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Fairy/Normal]
Lutine à la Clé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal]
Roi des Crânes Serviteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet]
Arène des Gladiateurs,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Trappe Blanche,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Chéruchou Sylvan,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Plante/Effet]
Bujintervention,Unlimited(OCG)/Unlimited(TCG),SPELL,
Néo Dragon Ultime aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Fusion／Effet]
Dragon Pandémique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet]
Esprit de Combat du Dragon,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Explosion Provoquée,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Portail du Contre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Soldat Sentinelle de Pierre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet]
Marshmacaron,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Fairy/Effect]
Magicienne des Baies,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet]
Magicienne des Kiwis,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet]
Porte du Contrat Magique,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Réflecteur Dimensionnel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Sortilège Final,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Métalobloc le Blocus Mobile,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Épées de Révélation de la Lumière Spirituelle,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Vijam la Graine Cubique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Garnex la Bête Cubique des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
Garoodia la Bête Cubique de l'Épée,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Effet]
Gundil le Béhémoth Cubique Destructeur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet]
Geria le Roi Cubique de la Ruse,Unlimited(OCG)/Unlimited(TCG),VENT,[Elfe/Effet]
Dragni le Roi Cubique Vulcain,Unlimited(OCG)/Unlimited(TCG),FEU,[Elfe/Effet]
Indiora l'Empereur Cubique du Choc Mortel,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Nova Pourpre le Seigneur Cubique des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Trinité Nova Pourpre le Seigneur Cubique des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Fusion／Effet]
Vague Cubique,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Renaissance Cubique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Unification des Seigneurs Cubiques,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Dragon Blanc Alternatif aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet]
Kuriboh Limpide,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Garde Celte des Armes Nobles,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet]
Gandora-X le Dragon de la Démolition,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet]
Seigneur Gaïa le Chevalier Implacable,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet]
Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal]
"Slifer, le Dragon Céleste",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet]
Duza le Vaisseau Cubique Météore,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet]
Le Dragon Ailé de Râ,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet]
Confrérie du Poing de Feu - Roi Tigre,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Xyz／Effet]
Bujintei Susanowo,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Beast-Warrior/Xyz／Effect]
Confrérie du Poing de Feu - Gorille,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet]
Numéro 47 : Requin Cauchemar,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Xyz／Effet]
Dragon Armé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet]
Sangan,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect]
Disparitions en Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
